[2025-10-02 11:52:01,973] logger - INFO - Flask application starting...
[2025-10-02 11:52:02,012] werkzeug - WARNING -  * Debugger is active!
[2025-10-02 11:52:02,019] werkzeug - INFO -  * Debugger PIN: 830-463-501
[2025-10-02 11:52:29,468] werkzeug - INFO - 127.0.0.1 - - [02/Oct/2025 11:52:29] "GET / HTTP/1.1" 200 -
[2025-10-02 11:52:29,488] werkzeug - INFO - 127.0.0.1 - - [02/Oct/2025 11:52:29] "[33mGET /static/static/images/BotVoice%20image.png HTTP/1.1[0m" 404 -
[2025-10-02 11:52:29,495] werkzeug - INFO - 127.0.0.1 - - [02/Oct/2025 11:52:29] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
[2025-10-02 11:52:36,693] logger - INFO - Sending messages to Groq API...
[2025-10-02 11:52:37,056] httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-10-02 11:52:37,081] logger - INFO - Received response from Groq API.
[2025-10-02 11:52:37,082] werkzeug - INFO - 127.0.0.1 - - [02/Oct/2025 11:52:37] "POST /api/chat HTTP/1.1" 200 -
[2025-10-02 11:52:50,644] logger - INFO - Sending messages to Groq API...
[2025-10-02 11:52:50,917] httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-10-02 11:52:50,920] logger - INFO - Received response from Groq API.
[2025-10-02 11:52:50,921] werkzeug - INFO - 127.0.0.1 - - [02/Oct/2025 11:52:50] "POST /api/chat HTTP/1.1" 200 -
